canonical_rxn,catalyst1,solvent1,solvent2,reagent1,reagent2,Yield,dataset
Brc1cnc2[nH]cc(-c3cnco3)c2c1.OB(O)c1ccccc1Oc1ccccc1>>c1ccc(Oc2ccccc2-c2cnc3[nH]cc(-c4cnco4)c3c2)cc1,Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1,CCO,Cc1ccccc1,,O=C([O-])[O-].[Na+].[Na+],46.1,train
CN(C(=O)OC(C)(C)C)C1CN(c2ncc(Br)n3nnnc23)C1.OB(O)c1cccs1>>CN(C(=O)OC(C)(C)C)C1CN(c2ncc(-c3cccs3)n3nnnc23)C1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,C1COCCO1,O,,O=C([O-])[O-].[Cs+].[Cs+],69.75,train
CC(C)(C)OC(=O)N1CCN(c2ccc(I)cc2)CC1.OB(O)c1cccnc1>>CC(C)(C)OC(=O)N1CCN(c2ccc(-c3cccnc3)cc2)CC1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,CCOC(C)=O,COCCOC,,O=C([O-])O.[Na+],32.0,test
N#Cc1cnc2sc(I)cc2c1Nc1ccc2[nH]ccc2c1.NCc1ccc(B(O)O)cc1>>N#Cc1cnc2sc(-c3ccc(CN)cc3)cc2c1Nc1ccc2[nH]ccc2c1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,COCCOC,O,,O=C([O-])O.[Na+],36.8,test
COC(=O)c1ccc2c(C3CCCCC3)c(Br)n(CC(=O)OC(C)(C)C)c2c1.O=Cc1ccccc1B(O)O>>COC(=O)c1ccc2c(C3CCCCC3)c(-c3ccccc3C=O)n(CC(=O)OC(C)(C)C)c2c1,Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1,C1COCCO1,,,O=C([O-])[O-].[Na+].[Na+],53.0,train
CCN(CC)CCCC(C)Nc1ncc2cc(Br)ccc2n1.Cc1nc(F)ccc1B(O)O>>CCN(CC)CCCC(C)Nc1ncc2cc(-c3ccc(F)nc3C)ccc2n1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,CCOC(C)=O,COCCOC,,O=C([O-])[O-].[Na+].[Na+],60.0,train
NC1CCC(Nc2nc(NCc3ccc(Br)nc3)c3ncn(C4CCCC4)c3n2)CC1.OB(O)c1ccsc1>>NC1CCC(Nc2nc(NCc3ccc(-c4ccsc4)nc3)c3ncn(C4CCCC4)c3n2)CC1,[Pd],COCCOC,O,O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],68.0,test
NC1=N[C@@]2(CS1)c1cc(Br)ccc1O[C@H]1CCOC[C@@H]12.OB(O)c1cncc(Cl)c1>>NC1=N[C@@]2(CS1)c1cc(-c3cncc(Cl)c3)ccc1O[C@H]1CCOC[C@@H]12,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,C1COCCO1,,,O=C([O-])[O-].[Na+].[Na+],21.0,train
CCNC(=O)Nc1nc2cc(-n3cccn3)cc(Br)c2s1.OB(O)c1cccnc1>>CCNC(=O)Nc1nc2cc(-n3cccn3)cc(-c3cccnc3)c2s1,Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1,CN(C)C=O,O,,O=P([O-])([O-])[O-].[K+].[K+].[K+],23.25,train
Fc1ccc(Br)cc1-c1nc(-c2ccccn2)no1.OB(O)c1ccncc1>>Fc1ccc(-c2ccncc2)cc1-c1nc(-c2ccccn2)no1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,COCCOC,,,O=C([O-])[O-].[Na+].[Na+],4.05,train
