Reactant1;Reactant2;Product;Yield;temperature;ML;B;S;catalysts;ligands;bases;solvents
OB(O)c1cccs1;CC(C)[C@H]1C[C@H](c2c[nH]c3c(C(N)=O)cc(Br)cc23)CCS1(=O)=O;CC(C)[C@H]1C[C@H](c2c[nH]c3c(C(N)=O)cc(-c4cccs4)cc23)CCS1(=O)=O;21.5;20;M0M;B12B;S28S;Cl[Pd]Cl;[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1;O=C([O-])[O-].[K+].[K+];C1COCCO1[SPLIT]O
N#Cc1ccc(B(O)O)cc1;C[C@@H]1CCCN1CCc1nnc2cc(Br)ccc2c1O;C[C@@H]1CCCN1CCc1nnc2cc(-c3ccc(C#N)cc3)ccc2c1O;33.0;20;M1M;B12B;S17S;Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1;;O=C([O-])[O-].[Na+].[Na+];CC(C)O
COc1ccccc1B(O)O;CNC(=O)c1c(-c2ccccc2)nn2cc(I)ccc12;CNC(=O)c1c(-c2ccccc2)nn2cc(-c3ccccc3OC)ccc12;37.95;20;M2M;B12B;S22S;CC(=O)[O-].CC(=O)[O-].[Pd+2];;O=C([O-])[O-].[Na+].[Na+];
OB(O)c1ccccc1;Brc1cncc2ccccc12;c1ccc(-c2cncc3ccccc23)cc1;82.4;20;M3M;B12B;S21S;c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1;;O=C([O-])[O-].[Na+].[Na+];COCCOC
OB(O)c1ccsc1;CN(Cc1cc(Br)n(S(=O)(=O)c2cccc(Cl)c2)c1)C(=O)OC(C)(C)C;CN(Cc1cc(-c2ccsc2)n(S(=O)(=O)c2cccc(Cl)c2)c1)C(=O)OC(C)(C)C;70.85;20;M3M;B12B;S22S;c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1;;O=C([O-])[O-].[Na+].[Na+];
OB(O)c1cccc(F)c1;NC1CCC(Nc2nc(NCc3ccc(Br)nc3)c3ncn(C4CCCC4)c3n2)CC1;NC1CCC(Nc2nc(NCc3ccc(-c4cccc(F)c4)nc3)c3ncn(C4CCCC4)c3n2)CC1;92.0;20;M4M;B12B;S28S;[Pd];O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1;O=C([O-])[O-].[Na+].[Na+];COCCOC[SPLIT]O
Cc1csc(B(O)O)c1;O=c1cnc(Br)cn1CCO;Cc1csc(-c2cn(CCO)c(=O)cn2)c1;51.2;20;M0M;B12B;S21S;Cl[Pd]Cl;[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1;O=C([O-])[O-].[Na+].[Na+];COCCOC
OB(O)c1ccccc1;Brc1nccs1;c1ccc(-c2nccs2)cc1;70.25;20;M5M;B12B;S21S;CC(C)(C)[P]([Pd][P](C(C)(C)C)(C(C)(C)C)C(C)(C)C)(C(C)(C)C)C(C)(C)C;;O=C([O-])[O-].[Cs+].[Cs+];C1COCCO1
CC(C)(C)OC(=O)c1cccc(B(O)O)c1;CNC(=O)c1c(-c2ccc(F)cc2)oc2nc(Cl)c(Br)cc12;CNC(=O)c1c(-c2ccc(F)cc2)oc2nc(Cl)c(-c3cccc(C(=O)OC(C)(C)C)c3)cc12;85.85;20;M3M;B12B;S26S;c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1;;O=C([O-])[O-].[Cs+].[Cs+];CN(C)C=O[SPLIT]O
OB(O)c1ccccc1;COc1cc(-n2ccc3oc(Br)cc3c2=O)ccc1OCC1(C#N)CC1;COc1cc(-n2ccc3oc(-c4ccccc4)cc3c2=O)ccc1OCC1(C#N)CC1;57.8;20;M3M;B12B;S28S;c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1;;O=C([O-])[O-].[K+].[K+];COCCOC[SPLIT]O
